Mercedes-Benz G-класс AMG|$ 169 000|https://im.mashina.kg/tachka/images//a/1/8/a18fba0b93f185271bbda0b9de6f5549_240x180.jpg|2019 г., 4 л., автомат внедорожник 5 дв., бензин руль слева, 95 000 км
Toyota Camry|$ 17 900|https://im.mashina.kg/tachka/images//6/b/7/6b7744aaf4173895bf5f01b32faa0b9d_240x180.jpg|2019 г., 2.5 л., вариатор седан, гибрид руль слева, 80 000 км
Lexus NX|$ 24 000|https://im.mashina.kg/tachka/images//a/0/d/a0d19e9d7428608e2ac44657188d8692_240x180.jpg|2019 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 59 900 км
Lexus LX|$ 92 000|https://im.mashina.kg/tachka/images//1/b/a/1ba9bd84a22f9e02689c01cfe220273e_240x180.jpg|2016 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 112 000 км
Geely Atlas Pro|$ 25 000|https://im.mashina.kg/tachka/images//6/a/d/6ad0a38fccdb24e810fb324b53ee675f_240x180.jpg|2023 г., 1.5 л., автомат внедорожник 5 дв., бензин руль слева, 10 км
Kia K7|$ 18 500|https://im.mashina.kg/tachka/images//8/5/0/850b4933b062f771d27d10b66fb10bf0_240x180.jpg|2018 г., 2.4 л., автомат седан, бензин руль слева, 157 669 км
Hyundai Santa Fe|$ 17 700|https://im.mashina.kg/tachka/images//b/1/9/b194209050fe5a08754ef7f547d7fb61_240x180.jpg|2017 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 208 000 км
Toyota Camry|$ 26 400|https://im.mashina.kg/tachka/images//2/3/8/23871e1ef8367dec65eac354f7bd64a5_240x180.jpg|2019 г., 2.5 л., вариатор седан, гибрид руль слева, 130 000 км
EXEED RX|$ 33 300|https://im.mashina.kg/tachka/images//e/d/b/edb2cb3cb24b325b526e1bed947732eb_240x180.jpg|2023 г., 2 л., робот внедорожник 5 дв., бензин руль слева, 1 км
Toyota Avalon|$ 32 500|https://im.mashina.kg/tachka/images//7/c/7/7c76e2716dba7a99fadf374b59212ae1_240x180.jpg|2023 г., 2 л., вариатор седан, бензин руль слева, 17 км
Toyota RAV4|$ 28 500|https://im.mashina.kg/tachka/images//8/d/d/8dd6ab825297f97622e4952e78f37646_240x180.jpg|2020 г., 2.5 л., автомат внедорожник 5 дв., бензин руль слева, 128 000 км
Toyota Wish|$ 8 350|https://im.mashina.kg/tachka/images//1/5/6/156e650b13596a7c6dea7a95c70e6dc6_240x180.jpg|2003 г., 1.8 л., автомат компактвэн, бензин руль справа, 280 000 км
Fiat 500|$ 6 999|https://im.mashina.kg/tachka/images//5/a/0/5a063de24a88bce95b90022358f9a331_240x180.jpg|2012 г., 1.4 л., автомат хэтчбек 3 дв., бензин руль слева, 219 000 км
Toyota Hilux|$ 11 900|https://im.mashina.kg/tachka/images//6/b/2/6b234c492c3239dafe63dfa8fc248f19_240x180.jpg|2010 г., 2.7 л., механика пикап двойная кабина, бензин руль слева, 266 000 км
